policy,eps,seed,fold,bearing,outcome,rul_at_alarm_s,lambda,esc_frac,bytes_per_snapshot,life_s
"Always-edge, CRC",0.2,1,0,Bearing2_1,premature,29280.0,1185.0,0.0,0.0,29400.0
"Always-edge, CRC",0.2,1,0,Bearing3_1,premature,152100.0,1185.0,0.0,0.0,152220.0
"Always-edge, CRC",0.25,1,0,Bearing1_1,premature,6840.0,1095.0,0.0,0.0,7320.0
"Always-edge, CRC",0.25,1,0,Bearing2_1,premature,29280.0,1095.0,0.0,0.0,29400.0
"Always-edge, CRC",0.25,1,0,Bearing3_1,premature,152100.0,1095.0,0.0,0.0,152220.0
"Always-edge, CRC",0.3,1,0,Bearing1_1,premature,6840.0,1095.0,0.0,0.0,7320.0
"Always-edge, CRC",0.3,1,0,Bearing2_1,premature,29280.0,1095.0,0.0,0.0,29400.0
"Always-edge, CRC",0.3,1,0,Bearing3_1,premature,152100.0,1095.0,0.0,0.0,152220.0
"Always-edge, CRC",0.4,1,0,Bearing1_1,premature,6840.0,892.5,0.0,0.0,7320.0
"Always-edge, CRC",0.4,1,0,Bearing2_1,premature,29280.0,892.5,0.0,0.0,29400.0
"Always-edge, CRC",0.4,1,0,Bearing3_1,premature,152100.0,892.5,0.0,0.0,152220.0
"Cloud point, fixed thr. H_p",,1,0,Bearing1_1,timely,2280.0,0.0,1.0,112.0,7320.0
"Cloud point, fixed thr. H_p",,1,0,Bearing2_1,timely,1860.0,0.0,1.0,112.0,29400.0
"Cloud point, fixed thr. H_p",,1,0,Bearing3_1,premature,6120.0,0.0,1.0,112.0,152220.0
"Cloud point, fixed thr. H_c",,1,0,Bearing1_1,late,,0.0,1.0,112.0,7320.0
"Cloud point, fixed thr. H_c",,1,0,Bearing2_1,late,,0.0,1.0,112.0,29400.0
"Cloud point, fixed thr. H_c",,1,0,Bearing3_1,late,,0.0,1.0,112.0,152220.0
Anomaly threshold,,1,0,Bearing1_1,late,,0.0,0.0,0.0,7320.0
Anomaly threshold,,1,0,Bearing2_1,late,,0.0,0.0,0.0,29400.0
Anomaly threshold,,1,0,Bearing3_1,late,,0.0,0.0,0.0,152220.0
"HERA-v3 (onset-gated, CRC)",0.1,1,1,Bearing1_2,premature,9360.0,4672.5,0.9875776397515528,124.0,9600.0
"HERA-v3 (onset-gated, CRC)",0.1,1,1,Bearing2_2,premature,9360.0,4672.5,0.9875776397515528,124.0,9600.0
"HERA-v3 (onset-gated, CRC)",0.1,1,1,Bearing3_2,premature,149460.0,4672.5,0.999198717948718,124.0,149700.0
"HERA-v3 (onset-gated, CRC)",0.15,1,1,Bearing1_2,premature,9360.0,4672.5,0.9875776397515528,124.0,9600.0
"HERA-v3 (onset-gated, CRC)",0.15,1,1,Bearing2_2,premature,9360.0,4672.5,0.9875776397515528,124.0,9600.0
"HERA-v3 (onset-gated, CRC)",0.15,1,1,Bearing3_2,premature,149460.0,4672.5,0.999198717948718,124.0,149700.0
"HERA-v3 (onset-gated, CRC)",0.2,1,1,Bearing1_2,premature,9360.0,3705.0,0.9875776397515528,124.0,9600.0
