fold,arch,epochs,width,noise,val_pinball,val_rmse_s,val_raw_cov
2,CNN-LSTM,8,128,0.2,0.15817945655566312,2731.727294921875,0.1518987341772152
0,LSTM,25,32,0.0,0.22599707491150717,3298.033447265625,0.06707317073170732
0,LSTM,25,32,0.2,0.22644989197028847,3295.92919921875,0.042682926829268296
0,GRU,25,32,0.0,0.18268173010489808,3039.342041015625,0.29878048780487804
0,GRU,25,32,0.2,0.18615559859852482,3038.233642578125,0.27439024390243905
0,CNN-LSTM,25,32,0.0,0.20307731211367175,3189.844970703125,0.12804878048780488
0,CNN-LSTM,25,32,0.2,0.2091984179794667,3199.81982421875,0.12804878048780488
2,LSTM,25,32,0.0,0.16970644710446628,2683.634033203125,0.05485232067510549
2,LSTM,25,32,0.2,0.17554839112482828,2725.36572265625,0.05907172995780591
2,GRU,25,32,0.0,0.166805368006418,2798.024658203125,0.16877637130801687
2,GRU,25,32,0.2,0.1717667190952727,2987.8583984375,0.22362869198312235
2,CNN-LSTM,25,32,0.0,0.17604337215381666,2673.751220703125,0.05907172995780591
2,CNN-LSTM,25,32,0.2,0.16858484051419545,2606.3818359375,0.10548523206751055
0,TCN,8,32,0.0,0.13078322667132578,2798.296875,0.38414634146341464
0,TCN,8,32,0.2,0.12527715028755793,2729.62353515625,0.3719512195121951
2,TCN,8,32,0.0,0.08410052015811584,1974.2540283203125,0.5654008438818565
2,TCN,8,32,0.2,0.0819996776219075,1975.148193359375,0.6118143459915611
0,LSTM,8,64,0.0,0.1377574355788226,2952.086669921875,0.5121951219512195
0,LSTM,8,64,0.2,0.14118886927854482,2899.08984375,0.4451219512195122
0,GRU,8,64,0.0,0.11687690009764297,2954.927001953125,0.5
0,GRU,8,64,0.2,0.11734636511286434,2967.349365234375,0.4573170731707317
0,CNN-LSTM,8,64,0.0,0.15382890595857632,3167.1484375,0.40853658536585363
0,CNN-LSTM,8,64,0.2,0.15750204640898735,3205.339599609375,0.4024390243902439
2,LSTM,8,64,0.0,0.1670687778128518,2762.567138671875,0.18143459915611815
2,LSTM,8,64,0.2,0.1452330317678331,2471.166015625,0.1518987341772152
