family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
Linear score gate,0.9400000000000001,0,0.0,0.17743490838958534,0.6125527232715936,0.9625435540069687,0.07714251275663948,0.9667322913736992,0.9399734822612399,919.43798828125
Anomaly trigger,0.9400000000000001,0,0.0,0.17743490838958534,0.6139739592884651,0.9533284430588667,0.08537908312909318,0.9588171481377316,0.9399734822612399,920.4970092773438
Random gate,0.9400000000000001,0,0.0009643201542912247,0.18611378977820636,0.5942600403447643,0.9537410599669907,0.08686568363534092,0.9592591104503998,0.9365583189360762,908.9696044921875
Width gate,0.98,0,0.013500482160077145,0.1909353905496625,0.6125985695947185,0.9510361269026224,0.08686568363534092,0.9562859094379043,0.9799911607537466,919.8880004882812
Linear score gate,0.98,0,0.0,0.17743490838958534,0.6125985695947185,0.9525032092426188,0.08606211579412591,0.9580537586885772,0.9799911607537466,919.3843383789062
Anomaly trigger,0.98,0,0.0,0.17743490838958534,0.6131487254722171,0.9530992114432423,0.08570051026557918,0.95873679135361,0.9799911607537466,919.8051147460938
Random gate,0.98,0,0.0009643201542912247,0.18129218900675023,0.6068677792041078,0.9535118283513663,0.08578086704970067,0.9590180400980353,0.9797902687934429,916.6627197265625
P: Always-edge (CQR),0.02,0,0.0,0.15429122468659595,0.6805428204657986,1.0,0.0517899473663064,1.0,0.0,747.1142578125
P: Always-cloud (CQR),0.02,0,0.0,0.0665380906460945,0.7521089308637448,1.0,0.04853549760938567,1.0,1.0,919.3841552734375
P: HERA,0.02,0,0.0,0.0665380906460945,0.7521089308637448,1.0,0.04853549760938567,1.0,1.0,919.3841552734375
P: Always-edge (CQR),0.05,0,0.0,0.29604628736740596,0.4417293233082707,1.0,0.07087468359516252,1.0,0.0,747.1142578125
P: Always-cloud (CQR),0.05,0,0.0,0.09932497589199614,0.7030533651201174,1.0,0.04716943227932018,1.0,1.0,919.3841552734375
P: HERA,0.05,0,0.0,0.09932497589199614,0.7030533651201174,1.0,0.04716943227932018,1.0,1.0,919.3841552734375
P: Always-edge (CQR),0.1,0,0.019286403085824494,0.3452266152362584,0.32207041995231983,0.9661654135338346,0.10514685202298205,0.9689421029370404,0.0,747.1142578125
P: Always-cloud (CQR),0.1,0,0.0,0.17743490838958534,0.6125985695947185,0.9532367504126169,0.08557997508939692,0.9588573265297923,1.0,919.3841552734375
P: HERA,0.1,0,0.019286403085824494,0.19672131147540983,0.6125068769484687,0.94801026957638,0.0890353168066214,0.9528707461127406,0.9689421029370404,920.2971801757812
P: Always-edge (CQR),0.15,0,0.0626808100289296,0.3876567020250723,0.20727122684760682,0.9077571978727306,0.15364217124030696,0.9072280927317289,0.0,747.1142578125
