family,param,seed,unsafe_rate,missed_urgent,false_urgent,false_maint,action_acc,approval_load,escalation_rate,rmse
P: Edge point - margin,0.0,0,0.579556412729026,0.7994214079074252,0.022464698331193838,0.054648817164863375,0.8437060548836836,0.07971392984852746,0.0,786.6175537109375
P: Cloud point - margin,0.0,0,0.42719382835101255,0.7849566055930569,0.06739409499358151,0.21909957821382725,0.7100325444975693,0.24918638756076983,1.0,1158.3077392578125
P: Edge point - margin,150.0,0,0.5670202507232401,0.7859209257473481,0.0260407115349349,0.06258023106546855,0.8372775121539636,0.08730764594800916,0.0,786.6175537109375
P: Cloud point - margin,150.0,0,0.39633558341369335,0.7058823529411765,0.08807078672290482,0.267604988079956,0.6709791474145205,0.2961147494877255,1.0,1158.3077392578125
P: Edge point - margin,300.0,0,0.5486981677917069,0.7675988428158148,0.028974876214927562,0.07784705666605539,0.8244606050865845,0.10149061834545381,0.0,786.6175537109375
P: Cloud point - margin,300.0,0,0.3780135004821601,0.6489874638379942,0.10842655419035394,0.2980927929580048,0.6465105066495239,0.3263289003174093,1.0,1158.3077392578125
P: Edge point - margin,450.0,0,0.5226615236258437,0.7405978784956606,0.031175499724922062,0.0966440491472584,0.8095544216320463,0.11993250030133794,0.0,786.6175537109375
P: Cloud point - margin,450.0,0,0.35390549662487947,0.6046287367405979,0.1295617091509261,0.344397579314139,0.6116758407328539,0.3735385109887902,1.0,1158.3077392578125
P: Edge point - margin,600.0,0,0.49662487945998074,0.7135969141755063,0.033101045296167246,0.137997432605905,0.7767286753184137,0.15986982200972316,0.0,786.6175537109375
P: Cloud point - margin,600.0,0,0.3201542912246866,0.553519768563163,0.15532734274711169,0.3990005501558775,0.5634215918678934,0.4242838201615171,1.0,1158.3077392578125
P: Edge point - margin,900.0,0,0.39537126325940214,0.6152362584378014,0.04011553273427471,0.23922611406565195,0.7063361324279802,0.26803005343726144,0.0,786.6175537109375
P: Cloud point - margin,900.0,0,0.20250723240115717,0.502410800385728,0.1840729873464148,0.5954978910691363,0.4014624934710113,0.6121579814375828,1.0,1158.3077392578125
